"Housing costs of households; household and dwelling characteristics"
"Household characteristics: Private households"
"Dwelling characteristics: Total dwellings"
"Accuracy: Value"
"";"";"Topic"
"";"";"Housing costs|Total housing costs";"Housing costs|Net rent or mortgage ";"Housing costs|Additional housing costs";"Housing cost ratio";"Skewed rent |Non-skewed rent";"Skewed rent |Skewed towards cheap rent";"Skewed rent |Skewed towards expensive rent"
"Owner or tenant";"Periods";"euro";"euro";"euro";"%";"%";"%";"%"
"Total";"2012";"814";"597";"217";"32.2";".";".";"."
"Total";"2015";"805";"598";"207";"31.7";".";".";"."
"Total";"2018";"823";"616";"207";"31.1";".";".";"."
"Total";"2021";"841";"644";"197";"28.6";".";".";"."
"Owner";"2012";"964";"719";"245";"29.5";".";".";"."
"Owner";"2015";"908";"678";"231";"27.2";".";".";"."
"Owner";"2018";"924";"695";"229";"26.6";".";".";"."
"Owner";"2021";"919";"696";"224";"23.4";".";".";"."
"Tenant";"2012";"591";"416";"175";"36.2";"80.2";"11.7";"8.1"
"Tenant";"2015";"649";"477";"172";"38.6";"76.8";"9.2";"14.0"
"Tenant";"2018";"669";"496";"173";"37.8";"81.0";"7.6";"11.4"
"Tenant";"2021";"723";"568";"156";"36.3";"81.7";"6.7";"11.6"
"Rents dwelling from private owner";"2012";"743";"560";"183";"40.8";"74.1";"12.2";"13.7"
"Rents dwelling from private owner";"2015";"813";"630";"183";"42.3";"73.7";"9.7";"16.6"
"Rents dwelling from private owner";"2018";"837";"657";"181";"42.4";"77.8";"7.4";"14.8"
"Rents dwelling from private owner";"2021";"944";"782";"162";"41.8";"80.3";"5.6";"14.1"
"Rents dwelling from housing corporation";"2012";"549";"376";"173";"34.9";"81.9";"11.6";"6.6"
"Rents dwelling from housing corporation";"2015";"599";"430";"169";"37.4";"77.7";"9.1";"13.2"
"Rents dwelling from housing corporation";"2018";"600";"430";"170";"36.0";"82.3";"7.7";"9.9"
"Rents dwelling from housing corporation";"2021";"622";"468";"153";"33.8";"82.4";"7.2";"10.4"
"Source: CBS"
